Unnamed: 0	Twitts	Topic	Sentiment
1357	Physicians Say Hospitals Are Pressuring ER Docs to List COVID-19 on Death Certificates. Here’s Why | Jon Miltimore https://t.co/aYiiEiNXVa via @feeonline WELL I NEVER - SURELY NOT GOVERNMENT SKULLDUGGERY	N	E
1280	@TomHasselman @jerryleewilson Honestly though. Aren’t we responsible for what we digest? I have had to tell myself a few times to avoid the Facebook comments related to Covid. It really is in our own hands as hard as it seems to avoid.	E	N
1491	@macjay72 @nikpet1 @BorisJohnson Yes and, as a result, Covid spread like wildfire and people died.	E	N
708	FDA advisers vote to recommend authorization of COVID-19 pill. https://t.co/vlJzkyxahQ	N	E
508	@RockStarPreach @NewsroomGC @CPHO_Canada @TheLancet @US_FDA @RepThomasMassie @GovCanHealth @elonmusk Covaxin is permitted as of today as an acceptable vaccine for travel. https://t.co/Ja65iIptMU	V	E
159	Anti-vaxx Chronicles: Long-haul COVID (or worse), blames everyone but herself https://t.co/4dJfoS3hhN	E	N
619	‘General Hospital’ Wraps Up Steve Burton Storyline – Without A Body – Deadline https://t.co/Esu0So3nSt	N	E
738	Do Nursing Homes have adequate NPI measures against Covid eg air filtration? . Does this come under Natl Policy for Safeguarding Vulnerable People- specifically freedom from institutional neglect? . (Note- unintended neglect is still neglect). @Orla_Hegarty @AgeAction @hpscireland https://t.co/QKK4iq7VB2	N
615	@IrishTimesOpEd @IrishTimes World health organisation has no idea about what they are doing ? They can not even explain the scource of Covid for 2 years .All they do , advising governments by disease and threatening public .	N	N
800	@JennJen100 Yes with Covid being drum beat into all us daily for two friggen years it's like every other virus no longer exists. It's all about control not the disease.	E	P
32	I blame trump for all the mess that this country is in. First COVID. He came to Georgia laughing and not taking it serious. He stated we only have 1 or 2 cases, not bad  and kept the country open. Dummy look what has happened because of trump IGNORANCE. Almost 800,000l lives lost	N
93	@histrionics20 You think no healthcare workers have gotten COVID over 2 years?. . Naturally recovered immunity is also a thing- No shit. . . Both the vaccine and recovering from the virus...do similar things for immunity. As they obviously do the same thing in stimulating an immune response.	V	N
